NCMs;CFOPs;Descrição;Monofásico?;Data
 3917-23-00;5405.0;TUBO SOLDAVEL 25mm X 6m PLASTILIT/PLASTUBOS;Não;2020-01-04 00:00:00
 3917-23-00;5102.0;TUBO SOLDAVEL 20mm X 6m KRONA;Não;2020-01-14 00:00:00
 3917-32-90;5405.0;LONA PRETA 04 MTS LARGURA;Não;2020-01-10 00:00:00
 3917-33-00;5405.0;MANGUEIRA PRETA 3/4   PESADA;Não;2020-01-09 00:00:00
 3917-39-00;5405.0;MANGUEIRA CRISTAL 5/16 x 1,5    AFA;Não;2020-01-21 00:00:00
 3917-40-90;5102.0;TE 90 SOLD 25mm (3/4 ) TODOS;Não;2020-01-02 00:00:00
 3917-40-90;5405.0;LUVA SOLD 25mm (3/4 );Não;2020-01-02 00:00:00
 3917-40-90;5102.0;LUVA SOLD 32mm (1 );Não;2020-01-02 00:00:00
 3917-40-90;5405.0;LUVA LR SOLD ROSCA 20mm X 1/2   TODOS;Não;2020-01-02 00:00:00
 3917-40-90;5405.0;TE 90 SOLD 25mm (3/4 )   TODOS;Não;2020-01-02 00:00:00
 3917-40-90;5405.0;SIFAO UNIVERSAL FLEXIVEL  EXT 40/50 HERC REF 2603;Não;2020-01-02 00:00:00
 3917-40-90;5405.0;JOELHO 90 SOLD 25 mm;Não;2020-01-04 00:00:00
 3917-40-90;5102.0;VALVULA LAVATORIO N.08 S/LADRAO BCA  812   KRONA;Não;2020-01-04 00:00:00
 3917-40-90;5102.0;UNIAO INTERNA PTA MANGUEIRA 3/4;Não;2020-01-06 00:00:00
 3917-40-90;5102.0;UNIAO INTERNA PE 1;Não;2020-01-06 00:00:00
 3917-40-90;5102.0;REDUÇAO UNIAO INTERNA PTA MANGUEIRA 3/4 x1/2;Não;2020-01-06 00:00:00
 3917-40-90;5102.0;REDUÇAO UNIAO INTERNA PTA MANGUEIRA 1 x3/4;Não;2020-01-06 00:00:00
 3917-40-90;5102.0;ADAPTADOR INTERNO R. EXTERNA MANG. PTA 1 DURIN;Não;2020-01-06 00:00:00
 3917-40-90;5102.0;ADAPTADOR CXA D AGUA LR 32mm X 1;Não;2020-01-06 00:00:00
 3917-40-90;5405.0;ENGATE FLEXIVEL 40cm;Não;2020-01-06 00:00:00
 3917-40-90;5405.0;LUVA SOLD 50mm (2 );Não;2020-01-13 00:00:00
 3917-40-90;5405.0;TE 90 SOLD 50mm (2 )   KRONA;Não;2020-01-13 00:00:00
 3917-40-90;5405.0;JOELHO 90 SOLD 50mm (2 );Não;2020-01-13 00:00:00
 3917-40-90;5102.0;BUCHA REDUCAO LONGA SOLD 50 X 32mm;Não;2020-01-14 00:00:00
 3917-40-90;5405.0;CAPS ESGOTO 100mm;Não;2020-01-17 00:00:00
 3917-40-90;5405.0;CAPS ESGOTO 075mm  AMANCO;Não;2020-01-17 00:00:00
 3917-40-90;5405.0;BRAÇO CHUVEIRO PVC  35 CM KRONA;Não;2020-01-17 00:00:00
 3917-40-90;5405.0;CAPS ESGOTO 050mm;Não;2020-01-17 00:00:00
 3917-40-90;5405.0;LUVA ESGOTO 100 MM   TODOS;Não;2020-01-21 00:00:00
 3917-40-90;5405.0;LUVA ESGOTO 40 MM;Não;2020-01-21 00:00:00
 3917-40-90;5405.0;JOELHO 90 SOLD 20mm (1/2 );Não;2020-01-22 00:00:00
 3917-40-90;5102.0;LUVA CORRER 25 mm;Não;2020-01-22 00:00:00
 3917-40-90;5102.0;LUVA CORRER 20mm (1/2 );Não;2020-01-24 00:00:00
 3917-40-90;5405.0;JOELHO INTERNO PTO DUPLO MANGUEIRA 1/2;Não;2020-01-27 00:00:00
 3917-40-90;5405.0;TE 90 BUCHA LATAO 20mm X 1/2;Não;2020-01-29 00:00:00
 3917-40-90;5405.0;JOELHO 90 BUCHA LATAO 20mm X 1/2    KRONA;Não;2020-01-29 00:00:00
 3917-40-90;5102.0;LUVA SOLD 020MM MRM KRONA  -  REF 435;Não;2020-01-31 00:00:00
 3919-10-00;5405.0;FITA ISOLANTE 19mm x 20m ANTICHAMAS   FOXLUX;Não;2020-01-18 00:00:00
 3919-10-20;5102.0;FITA ISOLANTE 19mm x 20m ANTICHAMAS FOXLUX;Não;2020-01-14 00:00:00
 3919-10-90;5102.0;FITA ISOLANTE 19X5M ANTI CHAMA;Não;2020-01-18 00:00:00
 3919-10-90;5102.0;FITA ISOLANTE 19X10MTS ANTI CHAMA;Não;2020-01-24 00:00:00
 3920-20-19;5102.0;LONA PRETA 08 MTS LARGURA LONAX;Não;2020-01-30 00:00:00
 3920-99-90;5405.0;FITA VEDA ROSCA 12mm x 10m;Não;2020-01-15 00:00:00
 3920-99-90;5102.0;FITA VEDA ROSCA 18mm x 25m   TECNOTAPE;Não;2020-01-27 00:00:00
